       R31         R(24,26)      -0.78                36.90
       R30         R(24,25)       0.77                36.60
       D82   D(16,17,24,27)       0.07                 3.40
       A48      A(17,24,26)       0.04                 2.00
       D77   D(12,17,24,25)      -0.04                 2.00
Mode 139:    3016.17 1322.0
      Name       Definition      Value  Relative Weight (%)
       R33         R(28,29)       1.05                70.20
       R31         R(24,26)      -0.04                 2.60
       R25         R(16,19)       0.04                 2.40
       R32         R(24,27)       0.03                 2.00
       A53      A(12,28,29)       0.03                 1.90
Mode 140:    3026.23   26.7
      Name       Definition      Value  Relative Weight (%)
       R29         R(20,23)      -0.98                43.80
       R27         R(20,21)       0.40                17.90
       R28         R(20,22)       0.30                13.60
       R25         R(16,19)       0.06                 2.80
       A43      A(15,20,23)       0.05                 2.00
Mode 142:    3074.29   21.3
      Name       Definition      Value  Relative Weight (%)
       R25         R(16,19)      -1.08                63.70
       R21         R(14,18)       0.08                 4.70
       R29         R(20,23)      -0.06                 3.60
       A35      A(15,16,17)      -0.06                 3.30
       R22         R(15,16)       0.04                 2.60
Mode 146:    3119.00   26.3
      Name       Definition      Value  Relative Weight (%)
        R7           R(3,8)      -0.94                48.30
        R9           R(4,9)      -0.52                26.40
       R11          R(5,10)      -0.14                 7.10
        R6           R(3,4)       0.06                 3.30
        R4           R(2,3)       0.04                 2.20
Mode 147:    3467.03  252.4
      Name       Definition      Value  Relative Weight (%)
       R34         R(30,31)       1.07                75.80
       R15          R(7,30)      -0.05                 3.40
       A54        A(1,30,7)       0.05                 3.40
       A56       A(7,30,31)      -0.05                 3.30
        R3          R(1,30)      -0.04                 3.10
